user_id,topic_id,status,last_update_time,last_seeded_time,first_update_time
10126551,6872104,16777473,2026-07-30 14:47:22,2026-07-30 14:05:02,2026-06-18 19:05:01
10126551,6872152,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2026-06-19 02:05:01
670524,4234977,1,2026-03-11 10:26:57,2026-07-30 16:05:01,2025-04-05 00:36:53
6449581,4234977,1,2026-07-15 04:24:18,2026-07-30 16:05:01,2024-02-19 00:01:00
10126551,4234977,16777473,2026-07-30 14:47:22,2026-07-30 05:05:01,2024-02-25 07:44:00
670524,6108907,0,,2026-07-30 16:05:01,
10126551,6108907,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-02-25 07:44:00
13779200,6108907,1,2026-07-30 09:05:01,2026-07-30 16:05:01,2025-11-02 01:05:01
15120125,6108907,1,2026-07-30 03:05:02,2026-07-30 16:05:01,2026-05-07 03:05:01
369429,5540498,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-06-03 20:56:28
10126551,5540498,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-02-25 07:44:00
369429,6434770,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-05-31 17:01:00
10126551,6434770,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-02-25 07:44:00
670524,5947427,1,2026-03-11 10:26:57,2026-07-30 16:05:01,2025-03-31 02:05:01
10126551,5947427,16777473,2026-07-30 14:47:22,2026-07-30 12:05:01,2024-02-25 07:44:00
670524,6558775,0,,2026-07-30 16:05:01,
10126551,6558775,16777473,2026-07-30 14:47:22,2026-07-30 08:05:01,2024-08-05 21:05:01
369429,6163528,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-05-20 18:13:00
10126551,6163528,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-02-25 07:44:00
670524,6073325,0,,2026-07-30 16:05:01,
10126551,6073325,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-02-25 07:44:00
670524,5874929,1,2026-03-11 10:26:57,2026-07-30 16:05:01,2025-04-05 00:36:53
10126551,5874929,16777473,2026-07-30 14:47:22,2026-07-30 10:05:01,2024-02-25 07:44:00
13779200,5874929,1,2026-07-30 09:05:01,2026-07-30 16:05:01,2025-11-02 01:05:01
10126551,4126545,16777473,2026-07-30 14:47:22,2026-07-28 23:05:01,2024-02-25 07:44:00
26514342,4126545,1,2026-07-27 18:05:01,2026-07-30 16:05:01,2026-06-30 19:05:02
670524,4946217,1,2026-03-11 10:26:57,2026-07-30 16:05:01,2025-06-24 06:05:01
10126551,4946217,16777473,2026-07-30 14:47:22,2026-07-30 10:05:01,2024-02-25 07:44:00
369429,5456137,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-05-24 18:03:00
10126551,5456137,16777473,2026-07-30 14:47:22,2026-07-30 14:05:02,2024-02-25 07:44:00
41586606,5456137,65537,2024-07-04 06:42:00,2026-07-22 19:09:51,2024-02-07 15:39:00
369429,6392288,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-06-03 20:56:28
10126551,6392288,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-02-25 07:44:00
670524,6434868,1,2026-03-11 10:26:57,2026-07-30 16:05:01,2025-04-27 18:05:01
10126551,6434868,16777473,2026-07-30 14:47:22,2026-07-30 05:05:01,2024-02-25 07:44:00
670524,6555188,0,,2026-07-30 05:05:01,
10126551,6555188,16777473,2026-07-30 14:47:22,2026-07-30 05:05:01,2024-07-26 12:05:01
670524,6569864,1,2026-03-11 10:26:57,2026-07-30 16:05:01,2025-04-05 00:36:53
10126551,6569864,16777473,2026-07-30 14:47:22,2026-07-30 05:05:01,2024-09-04 13:05:01
369429,6746172,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2025-09-21 01:05:01
10126551,6746172,16777473,2026-07-30 14:47:22,2026-07-30 09:05:01,2025-09-18 16:05:01
15120125,6746172,1,2026-07-30 03:05:02,2026-07-30 16:05:01,2026-05-07 03:05:01
1794706,6795789,1,2026-07-10 12:05:01,2026-07-30 16:05:01,2026-02-24 17:05:01
10126551,6795789,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2026-03-20 19:05:01
10126551,6872413,16777473,2026-07-30 14:47:22,2026-07-30 05:05:01,2026-06-19 15:09:35
10126551,6753548,16777473,2026-07-30 14:47:22,2026-07-30 06:05:01,2025-11-20 19:05:02
369429,5518182,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-05-24 18:03:00
10126551,5518182,16777473,2026-07-30 14:47:22,2026-07-30 15:05:01,2024-02-25 07:44:00
41586606,5518182,65537,2024-07-04 06:42:00,2026-07-22 19:09:51,2024-02-07 15:39:00
369429,5496376,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-05-18 15:46:00
10126551,5496376,16777473,2026-07-30 14:47:22,2026-07-30 13:05:01,2024-02-25 07:44:00
41586606,5496376,65537,2024-07-04 06:42:00,2026-07-22 19:09:51,2024-02-07 15:39:00
10126551,6155909,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-02-25 07:44:00
15120125,6155909,1,2026-07-30 03:05:02,2026-07-30 16:05:01,2026-05-07 03:05:01
2676629,6858709,0,,2026-07-30 16:05:01,
10126551,6858709,16777473,2026-07-30 14:47:22,2026-07-22 02:05:01,2026-07-14 19:05:02
369429,5938895,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-05-18 15:46:00
10126551,5938895,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-02-25 07:44:00
369429,6117459,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2025-06-14 01:05:01
10126551,6117459,16777473,2026-07-30 14:47:22,2026-07-28 00:05:01,2024-02-25 07:44:00
16158324,6117459,1,2026-05-25 02:05:01,2026-07-30 16:05:01,2025-02-12 02:05:01
10126551,6352181,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-02-25 07:44:00
369429,6652421,1,2026-07-30 01:05:01,2026-07-30 15:05:01,2025-03-25 02:05:01
