user_id,topic_id,status,last_update_time,last_seeded_time,first_update_time
10126551,5688546,16777473,2026-07-30 14:47:22,2026-07-18 07:05:01,2024-06-01 12:42:00
19049822,5688546,1,2026-07-30 05:05:01,2026-07-30 16:05:01,2026-07-25 01:05:01
10126551,5832209,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-06-17 18:43:02
19049822,5832209,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 21:17:16
10126551,5834290,16777473,2026-07-30 14:47:22,2026-07-28 04:05:01,2024-05-31 10:49:01
19049822,5834290,1,2026-07-30 05:05:01,2026-07-30 16:05:01,2026-07-25 01:05:01
10126551,5906363,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-05-31 10:49:01
19049822,5906363,1,2026-07-30 05:05:01,2026-07-26 00:05:02,2026-07-25 20:17:02
10126551,5991399,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-05-31 10:49:01
19049822,5991399,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 21:17:16
10126551,5993555,16777473,2026-07-30 14:47:22,2026-07-29 21:05:01,2024-05-31 10:49:01
19049822,5993555,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 20:17:02
10126551,6008898,16777473,2026-07-30 14:47:22,2026-07-24 04:05:01,2024-05-31 10:49:01
19049822,6008898,1,2026-07-30 05:05:01,2026-07-30 16:05:01,2026-07-25 02:15:27
2172910,6117569,0,,2026-07-30 16:05:01,
10126551,6117569,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-13 22:39:10
19049822,6117569,1,2026-07-30 05:05:01,,2026-07-25 14:17:00
2172910,6117573,0,,2026-07-30 16:05:01,
10126551,6117573,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-13 22:39:10
19049822,6117573,1,2026-07-30 05:05:01,,2026-07-25 23:22:41
2172910,6165557,0,,2026-07-30 16:05:01,
10126551,6165557,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-12 10:40:57
19049822,6165557,1,2026-07-30 05:05:01,,2026-07-25 01:54:24
369429,6189268,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2026-03-12 01:05:01
10126551,6189268,16777473,2026-07-30 14:47:22,2026-07-30 05:05:01,2024-06-17 18:43:02
19049822,6189268,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 21:17:16
10126551,6193963,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-05 07:43:44
19049822,6193963,1,2026-07-30 05:05:01,2026-07-26 01:05:02,2026-07-25 21:17:16
10126551,6208306,16777473,2026-07-30 14:47:22,2026-07-26 02:05:01,2024-06-13 22:39:10
19049822,6208306,1,2026-07-30 05:05:01,2026-07-28 16:05:01,2026-07-25 21:17:16
1140687,6209141,1,2026-07-30 00:05:01,2026-07-30 10:05:01,2025-06-20 00:05:01
10126551,6209141,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-06-14 21:42:56
19049822,6209141,1,2026-07-30 05:05:01,2026-07-30 16:05:01,2026-07-25 01:05:01
2172910,6243872,0,,2026-07-30 16:05:01,
10126551,6243872,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-13 22:39:10
19049822,6243872,1,2026-07-30 05:05:01,,2026-07-25 23:22:41
10126551,6307050,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-05-31 10:49:01
19049822,6307050,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 23:22:41
10126551,6320299,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-12 10:40:57
19049822,6320299,1,2026-07-30 05:05:01,,2026-07-25 01:54:24
10126551,6382731,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-12 10:40:57
19049822,6382731,1,2026-07-30 05:05:01,2026-07-25 00:05:01,2026-07-25 01:05:01
10126551,6412965,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-01 12:42:00
19049822,6412965,1,2026-07-30 05:05:01,,2026-07-25 01:05:01
369429,6415567,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-04-30 21:30:00
10126551,6415567,16777473,2026-07-30 14:47:22,2026-07-29 08:05:01,2024-05-31 10:49:01
19049822,6415567,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 20:17:02
2172910,6420017,0,,2026-07-30 16:05:01,
10126551,6420017,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-14 21:42:56
19049822,6420017,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 20:17:02
369429,6421738,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-04-30 21:30:00
10126551,6421738,16777473,2026-07-30 14:47:22,2026-07-30 05:05:01,2024-05-31 10:49:01
19049822,6421738,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 20:17:02
10126551,6448177,16777473,2026-07-30 14:47:22,2026-07-30 14:05:02,2024-06-14 21:42:56
19049822,6448177,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 20:17:02
10126551,6456180,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-13 07:39:26
19049822,6456180,1,2026-07-30 05:05:01,2026-07-27 14:05:01,2026-07-25 01:05:01
10126551,6494162,16777473,2026-07-30 14:47:22,2026-07-30 00:05:01,2024-06-14 21:42:56
19049822,6494162,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 20:17:02
10126551,6498024,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-06-17 18:43:02
19049822,6498024,1,2026-07-30 09:05:01,2026-07-30 16:05:01,2026-07-25 18:17:05
1140687,6498649,1,2026-07-30 00:05:01,2026-07-30 10:05:01,2025-06-03 00:05:01
10126551,6498649,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-14 21:42:56
19049822,6498649,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 14:17:00
369429,6503718,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-06-03 20:56:15
10126551,6503718,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-05-31 10:49:01
19049822,6503718,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 20:17:02
10126551,6504116,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-13 22:39:10
19049822,6504116,1,2026-07-30 05:05:01,,2026-07-25 20:17:02
10126551,6510503,16777473,2026-07-30 14:47:22,2026-07-30 08:05:01,2024-06-13 22:39:10
19049822,6510503,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 23:22:41
10126551,6510565,16777473,2026-07-30 14:47:22,2026-07-23 10:05:01,2024-06-17 18:43:02
19049822,6510565,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 19:16:43
10126551,6511059,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-06-13 22:39:10
19049822,6511059,1,2026-07-30 05:05:01,2026-07-29 11:05:01,2026-07-25 01:05:01
10126551,6520200,16777473,2026-07-30 14:47:22,2026-07-10 10:05:01,2024-06-13 07:39:26
19049822,6520200,1,2026-07-30 05:05:01,,2026-07-25 01:05:01
1140687,6541374,1,2026-07-30 00:05:01,2026-07-30 10:05:01,2024-06-24 02:00:15
10126551,6541374,16777473,2026-07-30 14:47:22,2026-07-30 08:05:01,2024-06-21 09:38:56
