user_id,topic_id,status,last_update_time,last_seeded_time,first_update_time
4813816,3816026,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-02-25 04:00:00
10126551,3816026,16777473,2026-07-30 14:47:22,2026-07-28 00:05:01,2024-10-21 02:05:01
14757368,3816026,1,2026-07-28 09:05:01,2026-07-30 16:05:01,2024-02-24 23:50:00
46916731,3816026,1,2026-07-30 05:05:01,2026-07-30 16:05:01,2026-06-24 17:05:01
4813816,3527403,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-02-25 04:00:00
10126551,3527403,16777473,2026-07-30 14:47:22,2026-07-30 03:05:02,2024-10-21 02:05:01
14315827,3527403,65537,2024-03-08 19:31:00,2026-07-30 16:05:01,2023-10-21 21:57:00
14757368,3527403,1,2026-07-28 09:05:01,2026-07-30 16:05:01,2025-03-22 13:05:01
10126551,3684480,16777473,2026-07-30 14:47:22,2026-07-28 00:05:01,2024-10-21 02:05:01
14315827,3684480,65537,2024-03-08 19:31:00,2026-07-30 16:05:01,2023-10-21 21:57:00
14757368,3684480,1,2026-07-28 09:05:01,2026-07-30 16:05:01,2024-02-24 23:50:00
46916731,3684480,1,2026-07-30 05:05:01,2026-07-30 16:05:01,2026-06-24 17:05:01
670524,3722594,0,,2026-07-30 16:05:01,
10126551,3722594,16777473,2026-07-30 14:47:22,2026-07-28 00:05:01,2024-10-21 02:05:01
14757368,3722594,1,2026-07-28 09:05:01,2026-07-30 16:05:01,2024-02-24 23:50:00
32873098,3722594,1,2026-06-02 16:05:01,2026-07-30 16:05:01,2026-04-12 21:05:01
46916731,3722594,1,2026-07-30 05:05:01,2026-07-30 16:05:01,2026-06-24 17:05:01
4813816,4570243,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-02-25 04:00:00
10126551,4570243,16777473,2026-07-30 14:47:22,2026-07-28 00:05:01,2024-10-21 19:05:01
14315827,4570243,65537,2024-03-08 19:31:00,2026-07-30 16:05:01,2023-10-21 21:57:00
14757368,4570243,1,2026-07-28 09:05:01,2026-07-30 16:05:01,2025-03-22 13:05:01
670524,4557774,1,2026-03-11 10:26:57,2026-07-30 16:05:01,2025-03-30 02:05:01
10008096,4557774,1,2026-06-20 12:05:01,2026-07-30 16:05:01,2024-02-07 09:47:00
