topic_id,reg_time,topic_poster,info_hash,tor_size_bytes,keeping_priority,seeder_last_seen,seeders,keeper_seeders,average_seeds_count,average_seeds_sum,topic_title
5883694,2,22279982,30B0B3BE8B764FEE56BF1CFE654FAE8B0C65A7CC,59716113495,2,2026-07-31 02:21:01,5,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{35,120,132,120,116,124,132,143,135,146,151,167,176,170,186,173,182,168,168,148,135,118,136,126,136,143,164,167,134,132,151}","Бумажный дом / La casa de papel / Money Heist / Сезон: 4 / Серии: 1-8 из 8 (Хесус Кольменар, Алекс Родриго, Алехандро Бассано) [2020, Испания, боевик, триллер, криминал, детектив, HDR10, WEBRip 2160p, 4k] MVO (HDRezka Studio) + Original + Sub (Rus, Eng)"
6105156,2,45204696,A3855DF198C4F3A0849C5DE9566F89FDD6E0AE9A,41139275123,1,2026-07-31 02:21:01,4,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{31,85,95,92,89,90,87,101,101,92,105,104,132,130,132,118,105,129,120,103,89,92,113,136,121,90,117,100,99,95,83}","Бумажный дом / La casa de papel / Money Heist / Сезон: 5 / Серии: 1-5 из 10 (Хесус Кольменар) [2021, Испания, боевик, триллер, криминал, детектив, HDR, WEBRip 2160p, 4k] Dub (Пифагор) + 2x MVO (LostFilm, TVShows) + Original + Sub (Rus, Eng)"
6161436,2,12882701,9C3806ACFD1FA442E88CA7612079A08111DFEEBD,40479337072,1,2026-07-31 02:21:01,7,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{47,154,185,185,145,142,180,165,175,161,155,147,156,179,180,131,130,137,157,150,160,135,162,179,188,168,154,144,158,174,146}","Шпион / The Spy / Сезон: 1 / Серии: 1-6 из 6 (Гидеон Рафф) [2019, Франция, драма, история, HDR10, WEB-DL 2160p, 4k] Dub (Невафильм) + Original (Eng) + Sub (Rus, Eng)"
6192138,2,15592502,10B5E3532C34D636CF820C8028CEF6B348BC1CEE,43036605079,1,2026-07-31 02:21:01,21,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{129,455,457,486,458,471,412,396,411,398,448,429,474,423,441,412,403,424,463,445,437,379,415,420,492,491,477,560,440,448,431}","Харлан Кобен. Невиновен / El inocente / Сезон: 1 / Серии: 1-8 из 8 (Ориол Паоло) [2021, Испания, Триллер, детектив, криминал, драма, HEVC, HDR, WEBRip 2160p, 4k] 3 x MVO (LostFilm, Jaskier, TVShows) + Original Spa + Sub (Rus, Eng, Spa)"
6220094,2,15592502,9B35ED401C11CED7DF4D806F7BA8009406BFB001,53940431877,1,2026-07-31 02:21:01,4,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{23,72,73,73,73,76,82,95,100,95,90,93,105,105,113,109,109,114,93,91,88,92,91,94,97,94,98,104,96,96,86}","Дикая республика / Wild Republic / Сезон: 1 / Серии: 1-8 из 8 (Маркус Голлер, Леннарт Рафф) [2021, Германия, Драма, приключения, HEVC, HDR10, WEB-DL 2160p, 4k] MVO (HDRezka Studio) + Ukr (HDRezka Studio) + Original + Sub (Eng, Deu)"
6224330,2,15592502,5A65F2272BBEC50CFCF8A23C1097A3B8C41B2921,53830901663,1,2026-07-31 02:21:01,5,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{40,131,150,175,171,155,154,186,166,168,160,161,190,186,168,154,161,157,154,157,176,162,163,174,166,160,175,191,164,171,168}","Германия 86 / Deutschland 86 / Сезон: 1 / Серии: 1-10 из 10 (Флориан Коссен, Арни Фельдхузен) [2018, Германия, Боевик, триллер, драма, HDR, WEB-DL 2160p, 4k] 2 x MVO (AlexFilm, HDRezka Studio) + Original Deu + Sub (Rus, Deu, Eng)"
6225048,2,15592502,6DF5532E4887BD2658E3F00E61FF6F07B5B5248E,49151057362,1,2026-07-31 02:21:01,5,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{39,119,118,141,152,129,121,143,124,143,137,136,148,153,151,129,100,108,101,121,121,123,120,125,125,125,146,158,126,126,131}","Германия 89 / Deutschland 89 / Сезон: 1 / Серии: 1-8 из 8 (Ранда Чахуд, Солин Юсеф) [2020, Германия, Триллер, драма, HDR10+, WEB-DL 2160p, 4k] 2 x MVO (AlexFilm, HDRezka Studio) + Original Deu + Sub (Deu, Eng)"
6238136,2,12882701,1650B308007AF8BF64D2DA90D414F376BC13A8A2,47888694412,1,2026-07-31 02:21:01,15,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{108,362,405,375,381,318,319,356,359,375,376,338,253,264,387,426,418,369,406,358,309,361,339,424,346,373,417,421,487,461,476}","Бумажный дом / La casa de papel / Money Heist / Сезон: 3 / Серии: 1-8 из 8 (Хесус Кольменар, Алекс Родриго, Кольдо Серра) [2019, Испания, боевик, триллер, криминал, детектив, HDR10, Dolby Vision, WEB-DL 2160p, 4k] [Hybrid] Dub (Пифагор) + Original (Spa) + Sub (Rus, Eng, Spa)"
6238149,2,12882701,8B4ADDB5A185851C67D0FBF6A4CA731D8F123603,49407636149,1,2026-07-31 02:21:01,10,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{62,193,246,246,248,216,230,281,280,291,267,299,206,186,283,274,298,288,286,235,188,245,243,287,222,255,258,282,344,303,325}","Бумажный дом / La casa de papel / Money Heist / Сезон: 4 / Серии: 1-8 из 8 (Хесус Кольменар, Алекс Родриго, Кольдо Серра) [2020, Испания, боевик, триллер, криминал, детектив, HDR10, Dolby Vision, WEB-DL 2160p, 4k] [Hybrid] Dub (Пифагор) + Original (Spa) + Sub (Rus, Eng, Spa)"
6304628,2,12882701,12C418D8F64817544F6FED6560CED2D1FDB97126,83154501779,1,2026-07-31 02:21:01,17,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{109,329,381,322,303,307,315,313,366,405,385,389,318,264,384,422,415,386,395,291,336,347,335,390,337,369,328,331,351,345,376}","Бумажный дом / La casa de papel / Money Heist / Сезон: 5 / Серии: 1-10 из 10 (Хесус Кольменар) [2021, Испания, боевик, триллер, драма, криминал, детектив, HEVC, HDR10, Dolby Vision, WEB-DL 2160p, 4k] [Hybrid] Dub (Пифагор) + Ukr + Original (Spa) + Sub (Rus, Ukr, Eng, Spa)"
