topic_id,reg_time,topic_poster,info_hash,tor_size_bytes,keeping_priority,seeder_last_seen,seeders,keeper_seeders,average_seeds_count,average_seeds_sum,topic_title
6509701,3,36564875,7AEBF84789110034CFEE20AF379F2EE797108435,37955383897,1,2026-07-31 02:21:01,8,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{51,224,228,217,240,258,249,264,240,254,270,254,246,240,246,260,249,262,233,224,242,280,238,256,226,235,200,218,225,233,229}","Два с половиной человека / Two and a Half Men / Сезон: 10 / Серии: 1-23 из 23 (Джеймс Уиддоуз, Гари Хэлворсон, Памела Фрайман) [2012-2013, США, комедия, ситком, драма, WEB-DL 1080p] MVO (НТВ) + Original + Sub (Rus, Eng)"
6509702,3,36564875,676EB40A59F02DA41A9292182E0E50F4E49159F1,37160450501,1,2026-07-31 02:21:01,6,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{44,192,217,201,230,234,230,257,267,254,239,231,249,244,239,203,232,251,258,250,236,284,244,266,243,244,219,250,250,221,214}","Два с половиной человека / Two and a Half Men / Сезон: 11 / Серии: 1-22 из 22 (Ли Аронсон, Чак Лорри) [2013-2014, США, комедия, ситком, драма, WEB-DL 1080p] MVO (НТВ) + Original + Sub (Rus, Eng)"
6672902,0,43880898,4C3C24EF154DB807D83C0241C2A8FC03817E1E66,16962616165,1,2026-07-31 02:21:01,3,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{16,66,54,72,90,76,86,92,40,47,60,51,48,37,34,43,44,39,35,32,39,52,40,58,39,50,38,68,51,52,61}","Тайны Острова Рок / Рок Айленд / Rock Island Mysteries / Сезон: 2 / Серии: 1-20 из 20 (Эван Клэрри, Йовита О'Шонесс) [2023, Австралия, драма, комедия, детектив, семейный, WEB-DL] Dub (TrueDubbing Studio)"
6737241,0,21371253,10140940AC040B73EBCEB3A9F126A281F579B9EC,7610572154,1,2026-07-31 02:21:01,0,0,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{0,1,0,4,5,0,2,0,4,5,3,8,2,2,7,10,4,1,35,16,75,53,63,67,76,84,96,74,71,77,84}","Могучие Рейнджеры Космо Ярость / Power Rangers Cosmic Fury / Сезон: 30 / Серии: 1-10 из 10 (Майкл Херст, Чарли Хэскелл) [2023, США, Япония, Новая Зеландия, Фантастика, боевик, WEB-DLRip] MVO (Soundfilm)"
6778623,0,43459903,7425596E078A87453FFEE9AFFBEF4F2C3072C4C1,46018300718,1,2026-07-31 02:21:01,349,7,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{2262,9020,8948,9020,9030,9249,8957,8928,8889,9218,8432,8706,9282,8713,8891,8924,9162,9394,9509,9460,9735,8369,8223,8839,9339,9464,9767,10674,9713,9778,9723}","Очень странные дела / Stranger Things / Сезон: 5 / Серии: 1-8 из 8 (Мэтт Даффер, Росс Даффер) [2025, США, ужасы, фантастика, фэнтези, триллер, драма, детектив, WEB-DL 1080p] 4x Dub (Videofilm Int., Red Head Sound, IRON VOICE, Whiskey Sound) + 6 x MVO + Dub (Ukr) + Original (Eng) + Sub (Rus, Ukr, Eng"
6794141,0,4531701,21F82EA59FDDEEE6B37C8A6B9B3F01B0626947A2,152306540451,1,2026-07-31 02:21:01,12,3,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{64,216,196,190,188,184,119,180,184,182,176,180,187,177,190,165,173,165,177,152,157,141,133,140,128,129,140,173,167,177,156}","Частный детектив Магнум / Magnum P.I. / Сезон: 1 / Серии: 1-18 из 18 (Майкл Виджер, Иван Диксон, Рэй Остин) [1981, США, приключения, боевик, криминал, детектив, BDRemux 1080p] MVO (канал СТС) + VO (Сам дома записал) + Original"
6801405,0,53850021,6C982401489032D1457A188189251F98536E42C1,141223641823,1,2026-07-31 02:21:01,17,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{112,461,496,444,486,544,520,508,500,515,425,401,401,361,373,393,419,401,411,380,408,376,361,372,345,414,453,473,371,316,286}","Во все тяжкие / Breaking Bad / Сезон: 2 / Серии: 1-13 из 13 (Винс Гиллиган) [2009, США, Драма, криминал, триллер, BDRemux 1080p] Dub (Selena) + MVO (LostFilm) + DVO (Кубик в Кубе) + MVO (FoxCrime) + Original"
6806105,0,8920744,8E7D8BE2DC97A7809B0828AE5DABF729C7FEDE28,258849989090,1,2026-07-31 02:21:01,5,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{37,138,146,141,170,166,148,142,154,146,101,99,109,111,109,108,100,118,135,133,143,121,112,154,137,127,134,136,128,101,126}","Иерихон / Jericho / Сезон: 1-2 / Серии: 1-29 из 29 (Джон Тёртелтауб) [2006-2008, США, драма, фантастика, приключения, BDRemux 1080p] VO/DVO (LostFilm) + MVO (ДТВ) + Ukr + Original Eng + Sub Rus, Eng"
6807403,0,18905318,2FD020A9048EA5E6DF6502AF1EFCD61F245DB408,22086070657,1,2026-07-31 02:21:01,27,0,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{191,723,694,729,789,926,809,718,722,762,732,825,900,896,844,877,899,904,917,884,875,688,697,752,778,876,785,760,660,637,610}","Шальные карты / Wild Cards / Сезон: 3 / Серии: 1-10 из 10 (Джеймс Дженн, Шон Пиллер, Ли Роуз) [2026, США, драма, комедия, криминал, WEB-DL 1080p] 3 x MVO (LE-Production, RuDub, Dragon Money Studio) + Original + Sub (Eng)"
6809784,0,53850021,AE57988B322BF252C5932B71EDF86CE688A270B5,121597311845,1,2026-07-31 02:21:01,36,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{240,797,722,796,793,850,725,789,769,701,650,717,701,645,627,600,691,590,611,581,611,480,497,639,573,698,575,722,590,746,831}","Во все тяжкие / Breaking Bad / Сезон: 3 / Серии: 1-13 из 13 (Винс Гиллиган) [2010, США, Драма, криминал, триллер, BDRemux 1080p] Dub (Selena) + MVO (LostFilm) + DVO (Кубик в Кубе) + MVO (FoxCrime) + Original"
