topic_id,reg_time,topic_poster,info_hash,tor_size_bytes,keeping_priority,seeder_last_seen,seeders,keeper_seeders,average_seeds_count,average_seeds_sum,topic_title
5526416,0,41168510,2183293106D020808D67347610CEE98BDA504D25,24738319094,1,2026-07-31 02:21:01,1,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{7,24,20,21,23,22,24,37,36,60,50,42,50,56,72,75,60,60,48,43,36,36,33,37,43,37,46,41,36,44,39}","Моцарт в джунглях / Mozart in the Jungle / Сезон: 4 / Серии: 1-10 из 10 (Пол Вайц / Paul Weitz) [2018, США, драма, комедия, музыка, HDR, WEBRip 2160p, 4k] MVO (AlexFilm) + Original + Eng Sub"
6751431,0,43459903,A9DD696F4B6899E6B78746C276D22D387CF403B5,67174825323,1,2026-07-31 02:21:01,19,0,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{118,404,404,408,425,333,341,340,335,363,323,307,297,293,363,369,366,438,406,357,423,370,419,443,446,464,431,432,448,449,444}","Дом Гиннессов / House of Guinness / Сезон: 1 / Серии: 1-8 из 8 (Том Шенкленд, Муния Аки) [2025, Великобритания, драма, биография, история, HEVC, HDR10+, Dolby Vision, WEB-DL 2160p, 4k] 3 x MVO + DVO (Кубик в Кубе) + Dub (RHS) + Dub (Ukr) + Original + Sub (Rus, Ukr, Eng)"
6779571,0,16748416,9B78534F9E93F32AC86069CE1FD7467DA634503F,108922617825,1,2026-07-31 02:21:01,32,2,"{7,24,24,24,24,24,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}","{224,808,764,846,840,897,890,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}","Очень странные дела / Загадочные события / Stranger Things / Сезон: 5 / Серии: 1-8 из 8 (Мэтт Даффер, Росс Даффер) [2025, США, ужасы, фантастика, фэнтези, триллер, драма, детектив, Dolby Vision TV, WEB-DL 2160p, 4k] 3 x Dub + 5 x MVO + Dub (Ukr) + Original + Sub (Rus, Ukr, Eng)"
6780363,2,23361560,16E414B650D92F40602C0B87D1663E611E544AD9,23240239671,1,2026-07-31 02:21:01,6,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{38,92,88,78,101,139,145,98,86,145,135,134,122,114,124,134,151,138,148,126,111,133,133,119,100,117,94,141,130,133,150}","Коба / Koba / Сезон: 1 / Серии: 1-8 из 8 (Нуржан Еркинулы) [2025, Казахстан, драма, триллер, криминал, SDR, WEBRip 2160p, 4k] + Sub Rus"
6813516,0,53850021,35432677075F9E19313A80BABB302B17C7925C90,59264853147,1,2026-07-31 02:21:01,33,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{236,997,984,1105,1144,1040,915,1002,1085,950,925,971,1066,989,1012,1029,1100,1067,1139,1003,1040,887,923,1110,1099,1140,1196,1175,1051,975,900}","Во все тяжкие / Breaking Bad / Сезон: 5 / Серии: 1-16 из 16 (Винс Гиллиган) [2012-2013, США, Драма, криминал, триллер, WEBRip 2160p] Dub (Selena) + MVO (LostFilm) + DVO (Кубик в Кубе) + MVO (FoxCrime) + Original"
6814054,0,53850021,8F46FA8A37674B6460F3ED1996D3E5D1A93E5A55,75164660752,1,2026-07-31 02:21:01,5,0,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{36,575,1450,1560,1601,1660,1592,1622,1702,1631,1507,1394,1434,1410,1483,1455,1588,1452,1553,1451,1551,1221,1224,1421,1374,1279,1415,1657,1417,1336,1306}","Во все тяжкие / Breaking Bad / Сезон: 1 / Серии: 1-7 из 7 (Винс Гиллиган) [2008, США, Драма, криминал, триллер, WEB-DL 2160p, 4k] MVO (LostFilm, FoxCrime) + DVO (Кубик в Кубе) + Original + Sub (Rus, Eng)"
6822404,2,53850021,BF09AAC4E54B7BE9428DB4276DD0DA42612D8072,64723249867,1,2026-07-31 02:21:01,15,0,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{93,245,143,139,767,2268,2131,2150,2045,2022,1772,1785,1825,1779,1699,1631,1709,1730,1824,1790,1773,1536,1452,1620,1539,1715,1808,2022,1818,1785,1619}","Лучше звоните Солу / Better call Saul / Сезон: 5 / Серии: 1-10 из 10 (Винс Гиллиган) [2020, США, Драма, Криминал, SDR, WEB-DL 2160p, 4k] MVO (LostFilm) + DVO (Кубик в Кубе) + Original + Sub (Rus, Eng)"
6826712,2,9115373,62BB1DF6D1A7818D14510B83E494AB6CEAACCB4D,50669508904,1,2026-07-31 02:21:01,7,0,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{40,1845,2106,2009,2070,2162,2195,2135,2253,2152,2037,2100,2112,1976,1998,2051,2177,2144,2195,2219,2114,1895,1934,2151,2245,2176,2301,2653,2314,2468,2481}","Молодой Шерлок / Young Sherlock / Сезон: 1 / Серии: 1-8 из 8 (Гай Ричи, Андерс Энгстрем) [2026, Великобритания, Боевик, детектив, приключения, HDR10+, WEB-DL 2160p, 4k] 5 x MVO (HDrezka Studio, LostFilm, Red Head Sound, Дубляжная, LE-Production) + DVO + Dub + Original + Sub (Rus, Eng)"
6838175,0,53850021,65F8347613EE80474BFDDB130C944057DD55B9C8,103584493472,1,2026-07-31 02:21:01,35,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{247,875,925,977,1002,1084,948,929,895,886,741,836,922,837,858,695,690,729,713,665,715,597,591,668,650,539,569,656,570,558,549}","Во все тяжкие / Breaking Bad / Сезон: 2 / Серии: 1-13 из 13 (Винс Гиллиган) [2009, США, Драма, криминал, триллер, WEB-DL 2160p, 4k] MVO (LostFilm, FoxCrime) + DVO (Кубик в Кубе) + Original"
6861818,0,52189176,A54B283E0ADA587D0BED04DBB290227F52458851,27163923203,1,2026-07-31 02:21:01,3,0,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{26,59,44,47,75,80,86,113,85,113,112,107,120,105,119,78,72,94,112,114,113,100,116,119,86,168,144,114,104,113,121}","Перезапуск / Reboot / Сезон: 1 / Серии: 1-8 из 8 (Крис Кох, Джаффар Махмуд, Кэрри Браунштейн, Стивен Левитан, Бет МакКарти-Миллер, Вьет Нгуе) [2022, США, Комедия, WEB-DL 2160p, 4k] MVO (TVShows) + Original + Sub (Eng)"
